,Adj Close,Close,High,Low,Open,Volume
Date,,,,,,
04-01-10,27.613066,30.572857,30.642857,30.34,30.49,123432400
05-01-10,27.660807,30.625713,30.798571,30.464285,30.657143,150476200
06-01-10,27.220825,30.138571,30.747143,30.107143,30.625713,138040000
07-01-10,27.170504,30.082857,30.285715,29.864286,30.25,119282800
08-01-10,27.351143,30.282858,30.285715,29.865715,30.042856,111902700
